ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,PASSENGERS
10996,10551,1.0
10996,10551,1.0
10996,10551,1.0
10996,11028,1.0
10996,12087,1.0
10996,12676,1.0
10996,12709,1.0
10996,14493,1.0
10996,14880,1.0
10996,14987,1.0
10996,15257,1.0
11003,13485,1.0
11003,13487,1.0
11007,10349,1.0
11007,11630,1.0
11007,11630,1.0
11007,11630,1.0
11007,11833,1.0
11027,14107,1.0
11028,10304,1.0
11028,10551,1.0
11028,10551,1.0
11028,10551,1.0
11028,10551,1.0
11028,10996,1.0
11028,10996,1.0
11028,10996,1.0
11028,10996,1.0
11028,10996,1.0
11028,11630,1.0
11028,14493,1.0
11028,14493,1.0
11028,14493,1.0
11028,14493,1.0
11028,14880,1.0
11028,14880,1.0
11028,14880,1.0
11028,14880,1.0
11028,14987,1.0
11028,14987,1.0
11028,14987,1.0
11028,14987,1.0
11028,14987,1.0
11028,15257,1.0
11028,15554,1.0
11034,11924,1.0
11036,15236,1.0
11036,15236,1.0
11036,15236,1.0
11036,15236,1.0
11041,10372,1.0
11041,13232,1.0
11042,10423,1.0
11042,10504,1.0
11042,10721,1.0
11042,10849,1.0
11042,11057,1.0
11042,11259,1.0
11042,11278,1.0
11042,11298,1.0
11042,12191,1.0
11042,12478,1.0
11042,12478,1.0
11042,12892,1.0
11042,13342,1.0
11042,14275,1.0
11042,14683,1.0
11042,14683,1.0
11042,14683,1.0
11042,14893,1.0
11042,14986,1.0
11042,15096,1.0
11042,15096,1.0
11042,15323,1.0
11043,12141,1.0
11049,10423,1.0
11050,12136,1.0
11057,10529,1.0
11057,12197,1.0
11057,13158,1.0
11057,13204,1.0
11057,13461,1.0
11057,13796,1.0
11057,14027,1.0
11057,14107,1.0
11057,14524,1.0
11057,14679,1.0
11057,14843,1.0
11057,15412,1.0
11057,15624,1.0
11066,10140,1.0
11066,10529,1.0
11066,10599,1.0
11066,11413,1.0
11066,12889,1.0
11066,12896,1.0
11066,13290,1.0
11066,14100,1.0
11066,14262,1.0
11066,14635,1.0
11066,14696,1.0
11066,15043,1.0
11066,15376,1.0
11085,11085,1.0
11098,14869,1.0
11106,10535,1.0
11106,11728,1.0
11106,12197,1.0
11109,10693,1.0
11109,11193,1.0
